season,week,match_id,team_id,player_id,player_name,player_pos,player_team,set_pos,points
2014,1,29087089,1073361,10272,B. Sankey,RB,TEN,BN,2.5
2014,1,29087089,1073361,10286,J. Hill,RB,CIN,BN,1.9
2014,1,29087089,1073361,10295,D. Adams,WR,GB,BN,0
2014,1,29087089,1073361,2334,Bengals,D/ST,CIN,D/ST,8
2014,1,29087089,1073361,3415,N. Novak,K,LAC,K,5
2014,1,29087089,1073361,566,A. Johnson,WR,HOU,WR,9.3
2014,1,29087089,1073361,6287,R. Jennings,RB,NYG,RB,15.6
2014,1,29087089,1073361,6581,D. Thomas,WR,DEN,WR,4.8
2014,1,29087089,1073361,8382,A. Luck,QB,IND,QB,26.7
2014,1,29087089,1073361,8429,M. Jones,WR,DET,BN,0
2014,1,29087089,1073361,9235,J. Gordon,WR,NE,BN,0
2014,1,29087089,1073361,9347,T. Williams,WR,DAL,FLEX,11
2014,1,29087089,1073361,9360,T. Kelce,TE,KC,BN,4.9
2014,1,29087089,1073361,9395,J. Reed,TE,WAS,TE,0.4
2014,1,29087089,1073361,9539,Z. Stacy,RB,LAR,RB,5.1
2014,1,29087089,1073395,2357,Buccaneers,D/ST,TB,D/ST,2
2014,1,29087089,1073395,3452,A. Rodgers,QB,GB,QB,9.56
2014,1,29087089,1073395,4828,G. Olsen,TE,CAR,TE,14.3
2014,1,29087089,1073395,6834,J. Bell,RB,DET,RB,11.6
2014,1,29087089,1073395,6881,V. Cruz,WR,NYG,FLEX,2.4
2014,1,29087089,1073395,7401,R. Cobb,WR,GB,WR,11.8
2014,1,29087089,1073395,7428,R. Mallett,QB,FA,BN,0
2014,1,29087089,1073395,7450,S. Vereen,RB,NE,RB,13.1
2014,1,29087089,1073395,8524,B. Walsh,K,MIN,K,13
2014,1,29087089,1073395,9328,T. Austin,WR,LAR,WR,3.9
2014,1,29087089,1073395,9365,A. Dobson,WR,FA,BN,0
2014,1,29087089,1073395,9379,M. Wheaton,WR,PIT,BN,9.7
2014,1,29087089,1073395,9392,J. Hunter,WR,TEN,BN,6.3
2014,1,29087089,1073395,9396,A. Ellington,RB,ARI,BN,6
2014,1,29087089,1073395,9492,K. Stills,WR,MIA,BN,0
2014,1,29087090,1073370,10254,K. Benjamin,WR,CAR,BN,15.2
2014,1,29087090,1073370,10256,S. Watkins,WR,BUF,BN,3.1
2014,1,29087090,1073370,2240,R. Wayne,WR,IND,WR,9.8
2014,1,29087090,1073370,2328,Cardinals,D/ST,ARI,BN,3
2014,1,29087090,1073370,2351,Eagles,D/ST,PHI,D/ST,12
2014,1,29087090,1073370,3058,V. Jackson,WR,TB,WR,3.6
2014,1,29087090,1073370,326,P. Rivers,QB,LAC,QB,12.52
2014,1,29087090,1073370,3356,A. Smith,QB,KC,BN,9.68
2014,1,29087090,1073370,3937,G. Jennings,WR,MIN,BN,11.8
2014,1,29087090,1073370,3986,S. Gostkowski,K,NE,K,10
2014,1,29087090,1073370,4060,V. Davis,TE,SF,TE,16.4
2014,1,29087090,1073370,4735,A. Bradshaw,RB,IND,BN,8.5
2014,1,29087090,1073370,4893,A. Peterson,RB,MIN,RB,9.3
2014,1,29087090,1073370,5327,C. Johnson,RB,NYJ,RB,15.1
2014,1,29087090,1073370,6610,J. Graham,TE,NO,FLEX,8.2
2014,1,29087090,1107405,2343,Chiefs,D/ST,KC,D/ST,4
2014,1,29087090,1107405,2882,R. Gould,K,CHI,K,9
2014,1,29087090,1107405,429,S. Jackson,RB,ATL,BN,5.2
2014,1,29087090,1107405,4671,C. Johnson,WR,DET,FLEX,28.4
2014,1,29087090,1107405,6102,S. Greene,RB,TEN,BN,7.1
2014,1,29087090,1107405,6578,C. Spiller,RB,BUF,RB,12.4
2014,1,29087090,1107405,6611,R. Gronkowski,TE,NE,TE,10
2014,1,29087090,1107405,7348,A. Hawkins,WR,CLE,BN,8.7
2014,1,29087090,1107405,7447,T. Smith,WR,BAL,WR,5
2014,1,29087090,1107405,7488,C. Clay,TE,MIA,BN,2.7
2014,1,29087090,1107405,8542,R. Randle,WR,NYG,BN,0.1
2014,1,29087090,1107405,8598,R. Wilson,QB,SEA,QB,18.54
2014,1,29087090,1107405,8628,R. Griffin,QB,WAS,BN,8.88
2014,1,29087090,1107405,9311,D. Hopkins,WR,HOU,WR,14.9
2014,1,29087090,1107405,9341,G. Bernard,RB,CIN,RB,11
2014,1,29087091,1075098,10289,T. West,RB,CLE,BN,10
2014,1,29087091,1075098,1178,P. Manning,QB,DEN,QB,22.46
2014,1,29087091,1075098,2330,Ravens,D/ST,BAL,D/ST,0
2014,1,29087091,1075098,3501,D. Sproles,RB,PHI,BN,14.5
2014,1,29087091,1075098,3769,H. Miller,TE,PIT,BN,2.6
2014,1,29087091,1075098,3823,R. White,WR,ATL,WR,13.2
2014,1,29087091,1075098,4055,M. Jones-Drew,RB,OAK,BN,2.3
2014,1,29087091,1075098,4780,N. Folk,K,NYJ,K,9
2014,1,29087091,1075098,5346,M. Bennett,TE,CHI,TE,13
2014,1,29087091,1075098,6047,M. Crabtree,WR,SF,WR,2.5
2014,1,29087091,1075098,6059,P. Harvin,WR,SEA,FLEX,10
2014,1,29087091,1075098,6066,H. Nicks,WR,IND,BN,9.6
2014,1,29087091,1075098,6121,M. Wallace,WR,MIA,BN,12.1
2014,1,29087091,1075098,7435,D. Murray,RB,DAL,RB,18.3
2014,1,29087091,1075098,9348,M. Ball,RB,DEN,RB,14.3
2014,1,29087091,1087309,10252,M. Evans,WR,TB,BN,3.7
2014,1,29087091,1087309,2340,Texans,D/ST,HOU,D/ST,20
2014,1,29087091,1087309,394,B. Roethlisberger,QB,PIT,BN,17.4
2014,1,29087091,1087309,4077,J. Cutler,QB,CHI,QB,17.96
2014,1,29087091,1087309,5349,J. Nelson,WR,GB,WR,8.3
2014,1,29087091,1087309,5381,P. Garcon,WR,WAS,FLEX,7.7
2014,1,29087091,1087309,64,A. Gates,TE,LAC,TE,8.1
2014,1,29087091,1087309,6608,T. Gerhart,RB,JAC,BN,5.7
2014,1,29087091,1087309,7443,S. Ridley,RB,NE,BN,2.8
2014,1,29087091,1087309,8385,M. Floyd,WR,ARI,WR,12.1
2014,1,29087091,1087309,8608,G. Zuerlein,K,LAR,K,9
2014,1,29087091,1087309,8630,A. Morris,RB,WAS,RB,9.1
2014,1,29087091,1087309,9352,E. Lacy,RB,GB,RB,4.5
2014,1,29087091,1087309,9386,C. Michael,RB,FA,BN,0
2014,1,29087091,1087309,9984,T. Wright,TE,NE,BN,1.5
2014,1,29087092,1073420,10243,O. Beckham,WR,NYG,BN,0
2014,1,29087092,1073420,10335,C. Hyde,RB,SF,BN,11
2014,1,29087092,1073420,2356,Rams,D/ST,LAR,D/ST,-1
2014,1,29087092,1073420,270,A. Boldin,WR,SF,BN,9.9
2014,1,29087092,1073420,4120,R. Bush,RB,DET,RB,6.4
2014,1,29087092,1073420,4286,B. Marshall,WR,CHI,WR,11.1
2014,1,29087092,1073420,4721,D. Bowe,WR,FA,BN,0
2014,1,29087092,1073420,5371,M. Ryan,QB,ATL,QB,31.42
2014,1,29087092,1073420,7371,M. Ingram,RB,NO,BN,18.1
2014,1,29087092,1073420,7372,J. Jones,WR,ATL,FLEX,9.6
2014,1,29087092,1073420,7477,J. Cameron,TE,CLE,TE,4.7
2014,1,29087092,1073420,8027,D. Bailey,K,DAL,K,5
2014,1,29087092,1073420,8441,T. Richardson,RB,IND,RB,5.1
2014,1,29087092,1073420,8512,L. Miller,RB,MIA,BN,11.8
2014,1,29087092,1073420,9380,K. Allen,WR,LAC,WR,3.7
2014,1,29087092,1115989,10263,J. Brown,WR,ARI,BN,8.9
2014,1,29087092,1115989,10303,M. Lee,WR,JAC,BN,6.2
2014,1,29087092,1115989,1732,L. Fitzgerald,WR,ARI,FLEX,2.2
2014,1,29087092,1115989,1956,P. Dawson,K,SF,K,4
2014,1,29087092,1115989,2161,J. Witten,TE,DAL,TE,1.4
2014,1,29087092,1115989,3864,F. Jackson,RB,BUF,BN,7.4
2014,1,29087092,1115989,4404,D. Williams,RB,CAR,BN,7.2
2014,1,29087092,1115989,4789,M. Lynch,RB,SEA,RB,24.4
2014,1,29087092,1115989,49,49ers,D/ST,SF,D/ST,18
2014,1,29087092,1115989,5338,M. Forte,RB,CHI,RB,16.9
2014,1,29087092,1115989,6269,J. Edelman,WR,NE,WR,11.6
2014,1,29087092,1115989,7424,C. Kaepernick,QB,SF,QB,17.14
2014,1,29087092,1115989,7582,C. Shorts,WR,FA,BN,0
2014,1,29087092,1115989,8622,K. Wright,WR,TEN,WR,10.6
2014,1,29087092,1115989,9305,T. Eifert,TE,CIN,BN,3.7
2014,1,29087093,1073671,10280,T. Mason,RB,FA,BN,0
2014,1,29087093,1073671,10318,J. Matthews,WR,PHI,BN,3.7
2014,1,29087093,1073671,2074,A. Vinatieri,K,IND,K,6
2014,1,29087093,1073671,2332,Panthers,D/ST,CAR,D/ST,10
2014,1,29087093,1073671,5367,R. Rice,RB,FA,BN,0
2014,1,29087093,1073671,6038,M. Stafford,QB,DET,QB,30.04
2014,1,29087093,1073671,6145,B. Hartline,WR,MIA,BN,2.6
2014,1,29087093,1073671,6303,A. Foster,RB,HOU,RB,10
2014,1,29087093,1073671,6603,E. Decker,WR,NYJ,FLEX,7.4
2014,1,29087093,1073671,6641,B. Tate,RB,CLE,RB,4.1
2014,1,29087093,1073671,6759,D. Pitta,TE,BAL,TE,8.3
2014,1,29087093,1073671,7369,A. Green,WR,CIN,WR,19.6
2014,1,29087093,1073671,7404,A. Dalton,QB,CIN,BN,18.34
2014,1,29087093,1073671,8493,T. Hilton,WR,IND,WR,4.1
2014,1,29087093,1073671,8576,L. Green,TE,LAC,BN,2.4
2014,1,29087093,1089754,10257,E. Ebron,TE,DET,BN,0
2014,1,29087093,1089754,10324,D. Freeman,RB,ATL,BN,3.3
2014,1,29087093,1089754,10372,N. Freese,K,DET,K,9
2014,1,29087093,1089754,1522,S. Smith,WR,BAL,BN,17.8
2014,1,29087093,1089754,2337,Broncos,D/ST,DEN,D/ST,7
2014,1,29087093,1089754,309,T. Brady,QB,NE,BN,10.26
2014,1,29087093,1089754,5324,D. Jackson,WR,WAS,WR,5.3
2014,1,29087093,1089754,5828,D. Woodhead,RB,LAC,BN,1.1
2014,1,29087093,1089754,6056,J. Maclin,WR,PHI,FLEX,15.7
2014,1,29087093,1089754,6090,L. McCoy,RB,PHI,RB,11.5
2014,1,29087093,1089754,6619,B. LaFell,WR,NE,BN,0
2014,1,29087093,1089754,6678,R. Cooper,WR,PHI,WR,2.9
2014,1,29087093,1089754,7595,J. Thomas,TE,DEN,TE,28.4
