team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073358,2014,1,1073363,Division Game,L,70.22,100.72
1073358,2014,10,1089754,Non-Division Game,L,55.58,77.84
1073358,2014,11,1073370,Division Game,W,69.7,63.62
1073358,2014,12,1115989,Division Game,L,38.8,108.54
1073358,2014,13,1073420,Division Game,L,100,131.24
1073358,2014,14,1115989,Consolation Game,W,108.04,73.86
1073358,2014,15,1089754,Consolation Game,W,104.76,88.28
1073358,2014,16,1087309,Consolation Game,W,81.8,78.9
1073358,2014,2,1107405,Division Game,L,83.14,83.28
1073358,2014,3,1073671,Non-Division Game,W,73.7,62.84
1073358,2014,4,1073370,Division Game,W,103.08,93.68
1073358,2014,5,1115989,Division Game,L,84.3,93.64
1073358,2014,6,1073420,Division Game Commish Edit,L,62.74,91.44
1073358,2014,7,1073395,Non-Division Game,L,58.94,100.3
1073358,2014,8,1073363,Division Game,L,107.38,144.96
1073358,2014,9,1107405,Division Game,L,69.72,96.86
1073358,2015,1,1073363,Division Game,W,97.84,82.3
1073358,2015,10,1089754,Non-Division Game,W,93.32,87.76
1073358,2015,11,1073370,Division Game,W,97.68,61.14
1073358,2015,12,1115989,Division Game,W,116.04,77.32
1073358,2015,13,1073420,Division Game,W,98.04,95.06
1073358,2015,14,1073363,Playoff Game,W,81.7,66.1
1073358,2015,15,1107405,Playoff Game,W,116.66,103.46
1073358,2015,16,1073361,Championship,L,63.5,103.74
1073358,2015,2,1107405,Division Game,W,105.5,91.54
1073358,2015,3,1087309,Non-Division Game,L,75.34,119.38
1073358,2015,4,1073370,Division Game,W,90.38,63.48
1073358,2015,5,1115989,Division Game,L,89.64,98.24
1073358,2015,6,1073420,Division Game,W,96.84,84.7
1073358,2015,7,1073361,Non-Division Game,L,72.5,114.42
1073358,2015,8,1073363,Division Game,L,77.66,78.92
1073358,2015,9,1107405,Division Game,W,105.78,77.16
1073358,2016,1,1073420,Division Game,L,78.46,99.56
1073358,2016,10,1073395,Non-Division Game,W,125.9,67.14
1073358,2016,11,1073370,Division Game,L,82.5,95.38
1073358,2016,12,1107405,Division Game,W,113.06,58.96
1073358,2016,13,1073363,Division Game,L,90.84,110.68
1073358,2016,14,1073420,Playoff Game,L,55.76,77.08
1073358,2016,2,1115989,Division Game,L,102.36,144.34
1073358,2016,3,1075098,Non-Division Game,L,71.14,108.86
1073358,2016,4,1073370,Division Game,W,95.48,93.9
1073358,2016,5,1107405,Division Game,W,102.92,81.14
1073358,2016,6,1073363,Division Game,L,71.16,98.48
1073358,2016,7,1073671,Non-Division Game,L,80.18,112.58
1073358,2016,8,1073420,Division Game,W,124.4,78.92
1073358,2016,9,1115989,Division Game,W,98.42,90.46
1073358,2017,1,1073363,Division Game,L,71.64,99.84
1073358,2017,10,1089754,Non-Division Game,W,102.98,83.36
1073358,2017,11,1073370,Division Game,W,92.78,80.94
1073358,2017,12,1115989,Division Game,W,113.28,88.98
1073358,2017,13,1073420,Division Game,W,80.54,61.12
1073358,2017,14,1073363,Playoff Game,L,51.54,106.18
1073358,2017,2,1107405,Division Game,L,66.7,90.12
1073358,2017,3,1087309,Non-Division Game,L,93.1,136.02
1073358,2017,4,1073370,Division Game,W,102.54,69.34
1073358,2017,5,1115989,Division Game,L,58.42,63.96
1073358,2017,6,1073420,Division Game,W,93.9,63.82
1073358,2017,7,1073361,Non-Division Game,W,85.82,62.2
1073358,2017,8,1073363,Division Game,L,73.62,79.78
1073358,2017,9,1107405,Division Game,L,88.48,125.98
1073358,2018,1,1073420,Division Game,L,85.76,117.78
1073358,2018,2,1115989,Division Game,W,87.8,84.3
1073358,2018,3,1075098,Non-Division Game,L,97.74,102.24
1073361,2014,1,1073395,Division Game,W,85.9,81.66
1073361,2014,10,1073420,Non-Division Game,L,56.76,63.56
1073361,2014,11,1087309,Division Game,L,76.22,115.58
1073361,2014,12,1089754,Division Game,W,111.52,76.26
1073361,2014,13,1075098,Division Game,W,165.3,91.66
1073361,2014,14,1073395,Playoff Game,W,101.36,87.28
1073361,2014,15,1075098,Playoff Game,L,90.08,135.72
1073361,2014,16,1073420,Playoff Game 3rd place,L,57.36,88.38
1073361,2014,2,1073671,Division Game,W,95.58,91.84
1073361,2014,3,1115989,Non-Division Game,W,117.3,75.2
1073361,2014,4,1087309,Division Game,W,105.92,102.14
1073361,2014,5,1089754,Division Game,W,101.68,97.28
1073361,2014,6,1075098,Division Game,L,72.6,88.78
1073361,2014,7,1107405,Non-Division Game,W,97.86,93.42
1073361,2014,8,1073395,Division Game,L,75,94.12
1073361,2014,9,1073671,Division Game,L,80.86,120.72
1073361,2015,1,1073395,Division Game,W,91.62,88.96
1073361,2015,10,1073363,Non-Division Game,L,66.76,99.98
1073361,2015,11,1087309,Division Game,W,107.42,51.38
1073361,2015,12,1089754,Division Game,L,89.6,101.28
1073361,2015,13,1075098,Division Game,W,129.02,57.74
1073361,2015,15,1075098,Playoff Game,W,115.96,105.98
1073361,2015,16,1073358,Championship,W,103.74,63.5
1073361,2015,2,1073671,Division Game,W,93.2,69.1
1073361,2015,3,1073370,Non-Division Game,L,71.8,87.58
1073361,2015,4,1087309,Division Game,W,92.84,65.56
1073361,2015,5,1089754,Division Game,W,109.34,78.4
1073361,2015,6,1075098,Division Game,W,94.08,63.7
1073361,2015,7,1073358,Non-Division Game,W,114.42,72.5
1073361,2015,8,1073395,Division Game,W,104.14,66.58
1073361,2015,9,1073671,Division Game,L,78.98,118.94
1073361,2016,1,1075098,Division Game,W,100.8,85.4
1073361,2016,10,1073420,Non-Division Game,W,118.34,101.78
1073361,2016,11,1087309,Division Game,L,98.68,100.1
1073361,2016,12,1073671,Division Game,W,110.66,85
1073361,2016,13,1073395,Division Game,W,122.62,96.56
1073361,2016,14,1075098,Playoff Game,W,106.64,80.16
1073361,2016,15,1073420,Playoff Game,W,81.7,75.14
1073361,2016,16,1073395,Championship,W,129.82,95.38
1073361,2016,2,1089754,Division Game,L,92.28,103.7
1073361,2016,3,1115989,Non-Division Game,W,121.54,69.64
1073361,2016,4,1087309,Division Game,L,109.46,118.1
1073361,2016,5,1073671,Division Game,L,87.38,96.08
1073361,2016,6,1073395,Division Game,W,102.72,100.56
1073361,2016,7,1107405,Non-Division Game,W,93.72,55.98
1073361,2016,8,1075098,Division Game,W,104.7,97
1073361,2016,9,1089754,Division Game,W,75.54,55.9
1073361,2017,1,1073395,Division Game,L,55.12,95.34
1073361,2017,10,1073363,Non-Division Game,L,59.32,88.96
1073361,2017,11,1087309,Division Game,L,78.26,91.6
1073361,2017,12,1089754,Division Game,L,83.1,101.06
1073361,2017,13,1075098,Division Game,L,80.96,93
1073361,2017,14,1073420,Consolation Game,L,64.82,77.04
1073361,2017,2,1073671,Division Game,W,111.48,104.54
1073361,2017,3,1073370,Non-Division Game,L,60.3,80.4
1073361,2017,4,1087309,Division Game,L,87.08,96.58
1073361,2017,5,1089754,Division Game Commish Edit,L,85.54,103.66
1073361,2017,6,1075098,Division Game,L,75.7,77.84
1073361,2017,7,1073358,Non-Division Game,L,62.2,85.82
1073361,2017,8,1073395,Division Game,W,111.18,101.4
1073361,2017,9,1073671,Division Game,L,73.26,106.32
1073361,2018,1,1075098,Division Game,L,69.64,102.94
1073361,2018,2,1089754,Division Game,L,94.6,97.08
1073361,2018,3,1115989,Non-Division Game,W,97.3,76.48
1073363,2014,1,1073358,Division Game,W,100.72,70.22
1073363,2014,10,1073395,Non-Division Game,L,133.18,137.8
1073363,2014,11,1115989,Division Game,W,109.8,100.52
1073363,2014,12,1107405,Division Game,W,122.9,86.54
1073363,2014,13,1073370,Division Game,W,106.98,75.46
1073363,2014,15,1073420,Playoff Game,W,80.8,65.4
1073363,2014,16,1075098,Championship,L,89.32,89.34
1073363,2014,2,1073420,Division Game,L,89.68,95.74
1073363,2014,3,1087309,Non-Division Game,W,100.02,74.5
1073363,2014,4,1115989,Division Game,W,95.28,86.52
1073363,2014,5,1107405,Division Game,W,103.64,90.54
1073363,2014,6,1073370,Division Game Commish Edit,L,75.6,114.32
1073363,2014,7,1075098,Non-Division Game,W,105.06,101.12
1073363,2014,8,1073358,Division Game,W,144.96,107.38
1073363,2014,9,1073420,Division Game,W,96.98,80.36
1073363,2015,1,1073358,Division Game,L,82.3,97.84
1073363,2015,10,1073361,Non-Division Game,W,99.98,66.76
1073363,2015,11,1115989,Division Game,W,101.94,90.8
1073363,2015,12,1107405,Division Game,L,65.12,102.6
1073363,2015,13,1073370,Division Game,W,132.84,32.1
